Fecha,Nivel Medio
2024-10-14 01:53:00,1.138
2024-10-14 01:52:00,1.144
2024-10-14 01:51:00,1.15
2024-10-14 01:50:00,1.158
2024-10-14 01:49:00,1.165
2024-10-14 01:48:00,1.167
2024-10-14 01:47:00,1.166
2024-10-14 01:46:00,1.169
2024-10-14 01:45:00,1.171
2024-10-14 01:44:00,1.172
2024-10-14 01:43:00,1.175
2024-10-14 01:42:00,1.178
2024-10-14 01:41:00,1.182
2024-10-14 01:40:00,1.184
2024-10-14 01:39:00,1.19
2024-10-14 01:38:00,1.193
2024-10-14 01:37:00,1.197
2024-10-14 01:36:00,1.203
2024-10-14 01:35:00,1.209
2024-10-14 01:34:00,1.213
2024-10-14 01:33:00,1.219
2024-10-14 01:32:00,1.226
2024-10-14 01:31:00,1.226
2024-10-14 01:30:00,1.238
2024-10-14 01:29:00,1.237
2024-10-14 01:28:00,1.247
2024-10-14 01:27:00,1.252
2024-10-14 01:26:00,1.257
2024-10-14 01:25:00,1.265
2024-10-14 01:24:00,1.272
2024-10-14 01:23:00,1.28
2024-10-14 01:22:00,1.284
2024-10-14 01:21:00,1.289
2024-10-14 01:20:00,1.294
2024-10-14 01:19:00,1.301
2024-10-14 01:18:00,1.307
2024-10-14 01:17:00,1.312
2024-10-14 01:16:00,1.314
2024-10-14 01:15:00,1.317
2024-10-14 01:14:00,1.321
2024-10-14 01:13:00,1.327
2024-10-14 01:12:00,1.328
2024-10-14 01:11:00,1.33
2024-10-14 01:10:00,1.329
2024-10-14 01:09:00,1.325
2024-10-14 01:08:00,1.323
2024-10-14 01:07:00,1.324
2024-10-14 01:06:00,1.318
2024-10-14 01:05:00,1.318
2024-10-14 01:04:00,1.316
2024-10-14 01:03:00,1.313
2024-10-14 01:02:00,1.311
2024-10-14 01:01:00,1.312
2024-10-14 01:00:00,1.314
2024-10-14 00:59:00,1.317
2024-10-14 00:58:00,1.319
2024-10-14 00:57:00,1.321
2024-10-14 00:56:00,1.324
2024-10-14 00:55:00,1.325
2024-10-14 00:54:00,1.324
2024-10-14 00:53:00,1.328
2024-10-14 00:52:00,1.332
2024-10-14 00:51:00,1.331
2024-10-14 00:50:00,1.336
2024-10-14 00:49:00,1.335
2024-10-14 00:48:00,1.339
2024-10-14 00:47:00,1.339
2024-10-14 00:46:00,1.343
2024-10-14 00:45:00,1.351
2024-10-14 00:44:00,1.356
2024-10-14 00:43:00,1.358
2024-10-14 00:42:00,1.363
2024-10-14 00:41:00,1.36
2024-10-14 00:40:00,1.364
2024-10-14 00:39:00,1.37
2024-10-14 00:38:00,1.37
2024-10-14 00:37:00,1.371
2024-10-14 00:36:00,1.374
2024-10-14 00:35:00,1.37
2024-10-14 00:34:00,1.37
2024-10-14 00:33:00,1.37
2024-10-14 00:32:00,1.371
2024-10-14 00:31:00,1.37
2024-10-14 00:30:00,1.363
2024-10-14 00:29:00,1.358
2024-10-14 00:28:00,1.35
2024-10-14 00:27:00,1.349
2024-10-14 00:26:00,1.343
2024-10-14 00:25:00,1.345
2024-10-14 00:24:00,1.341
2024-10-14 00:23:00,1.341
2024-10-14 00:22:00,1.339
2024-10-14 00:21:00,1.338
2024-10-14 00:20:00,1.333
2024-10-14 00:19:00,1.334
2024-10-14 00:18:00,1.334
2024-10-14 00:17:00,1.341
2024-10-14 00:16:00,1.338
2024-10-14 00:15:00,1.333
2024-10-14 00:14:00,1.329
2024-10-14 00:13:00,1.322
2024-10-14 00:12:00,1.322
2024-10-14 00:11:00,1.313
2024-10-14 00:10:00,1.313
2024-10-14 00:09:00,1.309
2024-10-14 00:08:00,1.31
2024-10-14 00:07:00,1.314
2024-10-14 00:06:00,1.308
2024-10-14 00:05:00,1.309
2024-10-14 00:04:00,1.307
2024-10-14 00:03:00,1.304
2024-10-14 00:02:00,1.301
2024-10-14 00:01:00,1.301
2024-10-14 00:00:00,1.295
2024-10-13 23:59:00,1.293
2024-10-13 23:58:00,1.288
2024-10-13 23:57:00,1.284
2024-10-13 23:56:00,1.278
2024-10-13 23:55:00,1.277
2024-10-13 23:54:00,1.275
2024-10-13 23:53:00,1.273
2024-10-13 23:52:00,1.272
2024-10-13 23:51:00,1.27
2024-10-13 23:50:00,1.269
2024-10-13 23:49:00,1.261
2024-10-13 23:48:00,1.262
2024-10-13 23:47:00,1.26
2024-10-13 23:46:00,1.26
2024-10-13 23:45:00,1.257
2024-10-13 23:44:00,1.252
2024-10-13 23:43:00,1.249
2024-10-13 23:42:00,1.244
2024-10-13 23:41:00,1.238
2024-10-13 23:40:00,1.239
2024-10-13 23:39:00,1.234
2024-10-13 23:38:00,1.229
2024-10-13 23:37:00,1.227
2024-10-13 23:36:00,1.223
2024-10-13 23:35:00,1.212
2024-10-13 23:34:00,1.205
2024-10-13 23:33:00,1.191
2024-10-13 23:32:00,1.19
2024-10-13 23:31:00,1.182
2024-10-13 23:30:00,1.177
2024-10-13 23:29:00,1.166
2024-10-13 23:28:00,1.155
2024-10-13 23:27:00,1.147
2024-10-13 23:26:00,1.141
2024-10-13 23:25:00,1.132
2024-10-13 23:24:00,1.132
2024-10-13 23:23:00,1.123
2024-10-13 23:22:00,1.114
2024-10-13 23:21:00,1.108
2024-10-13 23:20:00,1.098
2024-10-13 23:19:00,1.097
2024-10-13 23:18:00,1.092
2024-10-13 23:17:00,1.088
2024-10-13 23:16:00,1.085
2024-10-13 23:15:00,1.074
2024-10-13 23:14:00,1.073
2024-10-13 23:13:00,1.07
2024-10-13 23:12:00,1.065
2024-10-13 23:11:00,1.067
2024-10-13 23:10:00,1.063
2024-10-13 23:09:00,1.06
2024-10-13 23:08:00,1.057
2024-10-13 23:07:00,1.052
2024-10-13 23:06:00,1.052
2024-10-13 23:05:00,1.048
2024-10-13 23:04:00,1.049
2024-10-13 23:03:00,1.042
2024-10-13 23:02:00,1.037
2024-10-13 23:01:00,1.03
2024-10-13 23:00:00,1.025
2024-10-13 22:59:00,1.014
2024-10-13 22:58:00,1.005
2024-10-13 22:57:00,0.994
2024-10-13 22:56:00,0.982
2024-10-13 22:55:00,0.972
2024-10-13 22:54:00,0.958
2024-10-13 22:53:00,0.953
2024-10-13 22:52:00,0.942
2024-10-13 22:51:00,0.932
2024-10-13 22:50:00,0.923
2024-10-13 22:49:00,0.913
2024-10-13 22:48:00,0.903
2024-10-13 22:47:00,0.893
2024-10-13 22:46:00,0.883
2024-10-13 22:45:00,0.875
2024-10-13 22:44:00,0.863
